open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,price_change_24h,Buy_Volume,Sell_Volume,Delta_Volume,RSI,MACD,Signal_Line,VWAP,Parabolic_SAR
42655.95,42747.65,42564.0,42728.76,1188.19,50705136.0,52602.0,622.89,26580096.0,0.0,0.26,622.89,565.3,57.59,51.56,0.0,0.0,42674.31,67685.83
42728.76,42830.0,42674.0,42678.57,938.27,40133810.0,35711.0,431.5,18457818.0,0.0,0.26,431.5,506.77,-75.27,51.56,-4.0,-0.8,85448.73,42567.67
42678.56,42850.55,42622.36,42850.04,1193.04,50992944.0,45910.0,595.51,25452504.0,0.0,0.26,595.51,597.53,-2.01,51.56,6.58,0.68,128190.74,42578.17
42850.05,42850.55,42672.95,42680.16,1093.25,46744080.0,60902.0,492.05,21038914.0,0.0,0.26,492.05,601.2,-109.16,51.56,1.25,0.79,170947.69,42594.51
42680.16,42788.0,42411.0,42782.43,2445.67,104256630.0,83991.0,1171.8,49958736.0,0.0,0.26,1171.8,1273.87,-102.07,51.56,5.22,1.68,213576.72,42850.55
42782.42,42782.43,42518.0,42609.84,1305.63,55679740.0,58544.0,708.53,30215476.0,0.0,0.26,708.53,597.1,111.43,51.56,-5.5,0.24,256222.44,42841.76
42609.83,42926.02,42365.58,42576.01,3407.7,145182260.0,143369.0,1756.32,74828670.0,0.0,0.26,1756.32,1651.38,104.93,51.56,-16.54,-3.11,298826.62,42411.0
42576.02,42768.0,42472.85,42482.79,2383.9,101584580.0,109007.0,1193.75,50873510.0,0.0,0.26,1193.75,1190.14,3.61,51.56,-32.43,-8.98,341439.47,42421.3
42482.8,42564.13,42250.31,42360.28,2301.06,97587690.0,89181.0,1134.24,48107148.0,0.0,0.26,1134.24,1166.82,-32.58,51.56,-54.28,-18.04,383849.4,42926.02
42360.29,42470.32,42200.69,42371.1,1419.22,60111436.0,65104.0,714.92,30282292.0,0.0,0.26,714.92,704.3,10.62,51.56,-69.93,-28.42,426204.56,42912.5
42371.1,42612.48,42278.98,42612.45,1471.84,62478732.0,62455.0,791.65,33606784.0,0.0,0.26,791.65,680.19,111.47,51.56,-62.13,-35.16,468654.0,42884.03
42612.46,42745.99,42555.22,42611.11,1041.37,44403760.0,46391.0,561.39,23936980.0,0.0,0.26,561.39,479.98,81.41,51.56,-55.42,-39.21,511293.6,42843.03
42611.1,42876.48,42559.29,42722.9,2990.72,127754984.0,157049.0,1657.22,70790190.0,0.0,0.26,1657.22,1333.49,323.73,51.56,-40.62,-39.49,554010.8,42200.69
42722.9,42822.96,42603.2,42676.13,1125.25,48057504.0,71096.0,582.76,24888734.0,0.0,0.26,582.76,542.48,40.28,48.02,-32.28,-38.05,596719.2,42214.2
42676.14,42729.06,42450.0,42722.14,767.12,32694650.0,40647.0,360.12,15347668.0,0.0,0.26,360.12,407.0,-46.88,49.76,-21.72,-34.78,639339.06,42240.7
42722.13,42792.48,42619.73,42776.1,869.8,37150704.0,39932.0,433.63,18520566.0,0.0,0.26,433.63,436.17,-2.54,53.54,-8.89,-29.61,682050.9,42278.84
42776.09,42784.4,42617.31,42660.79,877.07,37458290.0,33020.0,360.43,15391793.0,0.0,0.26,360.43,516.64,-156.22,42.84,-7.93,-25.27,724759.2,42326.66
42660.79,42713.92,42502.19,42584.62,814.28,34681970.0,37756.0,355.65,15149034.0,0.0,0.26,355.65,458.62,-102.97,46.11,-13.17,-22.85,767351.6,42381.64
42584.61,42721.0,42584.12,42653.82,563.7,24052090.0,27372.0,247.03,10538215.0,0.0,0.26,247.03,316.67,-69.64,44.62,-11.61,-20.6,810019.94,42441.02
42653.81,42676.75,42550.0,42592.05,522.21,22250150.0,24503.0,221.01,9415437.0,0.0,0.26,221.01,301.2,-80.19,49.18,-15.17,-19.52,852628.0,42501.98
42592.04,42689.95,42589.0,42665.0,550.15,23459228.0,25728.0,261.3,11142019.0,0.0,0.26,261.3,288.85,-27.55,53.96,-11.98,-18.01,895269.44,42561.9
42664.99,42784.99,42634.0,42772.87,797.44,34059780.0,33306.0,424.93,18148664.0,0.0,0.26,424.93,372.51,52.41,62.75,-0.73,-14.55,937980.6,42618.52
42772.86,42873.25,42759.13,42807.05,817.27,34992716.0,40772.0,401.33,17183048.0,0.0,0.26,401.33,415.94,-14.61,71.29,10.82,-9.48,980797.1,42670.12
42807.04,42922.0,42804.0,42915.33,1228.25,52674850.0,42696.0,599.7,25717282.0,0.0,0.26,599.7,628.55,-28.85,73.73,28.38,-1.91,1023683.4,42711.39
42915.32,42930.0,42724.0,42742.0,870.48,37283280.0,34680.0,344.37,14749603.0,0.0,0.03,344.37,526.11,-181.74,56.0,27.98,4.07,1066514.0,42922.0
42742.0,42871.85,42709.61,42743.84,958.87,41024108.0,41480.0,500.54,21414998.0,0.0,0.15,500.54,458.34,42.2,56.15,27.51,8.76,1109297.5,42918.04
42743.85,42779.27,42388.0,42447.66,1548.48,65936304.0,77188.0,605.95,25800262.0,0.0,-0.94,605.95,942.53,-336.59,39.11,3.19,7.64,1151878.8,42909.7
42447.67,42551.1,42387.68,42544.59,1489.3,63263724.0,53005.0,802.61,34095136.0,0.0,-0.32,802.61,686.69,115.92,44.99,-8.17,4.48,1194357.8,42878.4
42544.6,42547.39,42353.8,42433.44,1113.6,47258800.0,45276.0,498.22,21141866.0,0.0,-0.82,498.22,615.39,-117.17,39.53,-25.84,-1.58,1236795.5,42839.14
42433.45,42657.16,42362.0,42508.0,1491.62,63367844.0,58661.0,813.62,34566370.0,0.0,-0.24,813.62,678.0,135.62,40.42,-33.44,-7.95,1279278.0,42790.61
42508.01,42742.0,42428.37,42738.7,1312.17,55854588.0,80099.0,698.16,29718668.0,0.0,0.38,698.16,614.01,84.15,52.57,-20.61,-10.48,1321844.4,42353.8
42738.7,42810.0,42611.1,42619.32,1369.13,58475812.0,49916.0,719.31,30721112.0,0.0,0.32,719.31,649.82,69.49,51.11,-19.85,-12.36,1364554.5,42361.56
42619.31,42619.32,41736.27,41948.99,4847.45,204071260.0,148603.0,2144.87,90289510.0,0.0,-0.97,2144.87,2702.57,-557.7,33.68,-72.5,-24.38,1406653.2,42810.0
41948.99,42178.39,41500.0,41816.71,4035.12,168730830.0,117717.0,1954.65,81770950.0,0.0,-1.31,1954.65,2080.47,-125.82,32.62,-123.47,-44.2,1448468.8,42788.52
41816.71,41916.07,41370.0,41508.95,3372.52,140169420.0,90412.0,1666.6,69268536.0,0.0,-2.59,1666.6,1705.92,-39.32,26.55,-186.55,-72.67,1490031.0,42736.98
41508.95,41601.52,40831.99,41022.32,5153.56,212495490.0,133308.0,2115.15,87297210.0,0.0,-3.73,2115.15,3038.41,-923.26,19.22,-272.67,-112.67,1531263.6,42654.96
41022.33,41315.8,40683.28,40835.6,4564.23,187019360.0,110559.0,2299.01,94237500.0,0.0,-4.42,2299.01,2265.22,33.8,17.1,-351.93,-160.52,1572238.8,42509.13
40835.6,41266.0,40757.85,41124.0,2812.09,115340500.0,84511.0,1505.02,61735496.0,0.0,-3.64,1505.02,1307.06,197.96,21.8,-387.01,-205.82,1613254.8,42326.54
41123.99,41366.99,41076.01,41354.67,1784.04,73609860.0,43901.0,976.89,40309532.0,0.0,-3.2,976.89,807.16,169.73,28.55,-391.68,-242.99,1654514.9,42129.35
41354.67,41361.0,41203.18,41327.5,1014.47,41896290.0,31618.0,568.79,23490386.0,0.0,-3.39,568.79,445.68,123.11,28.27,-393.05,-273.0,1695813.5,41926.9
41327.51,41370.99,41100.0,41290.5,1141.19,47071468.0,41938.0,572.19,23602964.0,0.0,-3.21,572.19,569.0,3.19,30.71,-392.59,-296.92,1737061.5,41727.92
41290.5,41333.46,41122.15,41270.0,1268.0,52285336.0,41330.0,658.36,27146350.0,0.0,-3.09,658.36,609.64,48.73,28.2,-389.39,-315.41,1778295.9,41539.89
