open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,price_change_24h,Buy_Volume,Sell_Volume,Delta_Volume,RSI,MACD,Signal_Line,VWAP,Parabolic_SAR
2648.64,2664.67,2647.07,2663.51,13891.96,36918948.0,30671.0,8255.25,21937232.0,0.0,0.07,8255.25,5636.71,2618.54,50.59,0.0,0.0,2657.58,3140.75
2663.51,2682.04,2657.03,2677.39,16335.04,43556532.0,36027.0,9469.72,25253550.0,0.0,0.07,9469.72,6865.32,2604.41,50.59,1.11,0.22,5324.02,2647.42
2677.39,2679.98,2664.29,2668.22,21789.26,58220640.0,46522.0,11126.12,29729396.0,0.0,0.07,11126.12,10663.14,462.98,50.59,1.23,0.42,7996.01,2648.81
2668.23,2686.06,2658.0,2681.75,20797.0,55605308.0,45868.0,11257.58,30100032.0,0.0,0.07,11257.58,9539.42,1718.15,50.59,2.39,0.82,10669.73,2650.8
2681.75,2686.12,2666.76,2674.81,15821.64,42348616.0,35403.0,7508.8,20099270.0,0.0,0.07,7508.8,8312.83,-804.03,50.59,2.72,1.2,13346.36,2653.62
2674.81,2677.8,2611.0,2643.61,49883.17,132059370.0,97405.0,24220.6,64120796.0,0.0,0.07,24220.6,25662.57,-1441.97,50.59,0.46,1.05,15993.73,2686.12
2643.61,2654.66,2590.0,2633.26,74440.78,195476430.0,133422.0,36608.92,96151980.0,0.0,0.07,36608.92,37831.86,-1222.94,50.59,-2.14,0.41,18619.66,2684.62
2633.25,2643.26,2608.52,2630.99,36683.02,96429670.0,73285.0,16799.53,44160030.0,0.0,0.07,16799.53,19883.49,-3083.96,50.59,-4.34,-0.54,21248.39,2680.83
2631.0,2640.29,2601.0,2602.74,28244.95,74038380.0,62706.0,12342.58,32353674.0,0.0,0.07,12342.58,15902.37,-3559.79,50.59,-8.26,-2.08,23869.69,2675.38
2602.74,2619.98,2592.37,2619.65,25231.94,65799292.0,55886.0,12971.05,33827956.0,0.0,0.07,12971.05,12260.89,710.16,50.59,-9.9,-3.65,26477.46,2668.55
2619.65,2635.67,2618.0,2630.16,16154.84,42429520.0,42314.0,9523.96,25014906.0,0.0,0.07,9523.96,6630.88,2893.09,50.59,-10.22,-4.96,29103.89,2660.7
2630.16,2635.05,2610.0,2611.42,12664.08,33219274.0,35655.0,6226.47,16335770.0,0.0,0.07,6226.47,6437.6,-211.13,50.59,-11.86,-6.34,31727.0,2652.21
2611.42,2631.76,2610.8,2627.65,17527.69,45983044.0,36290.0,8476.96,22236708.0,0.0,0.07,8476.96,9050.73,-573.77,50.59,-11.71,-7.41,34350.45,2643.5
2627.65,2648.6,2627.0,2631.54,11783.54,31100840.0,31596.0,5999.22,15833629.0,0.0,0.07,5999.22,5784.32,214.9,41.21,-11.15,-8.16,36989.8,2590.0
2631.55,2637.02,2615.02,2635.88,9946.5,26133428.0,23729.0,5059.96,13299785.0,0.0,0.07,5059.96,4886.54,173.42,42.58,-10.24,-8.58,39617.2,2591.17
2635.87,2642.34,2627.39,2639.99,6642.8,17501254.0,18860.0,3405.6,8972872.0,0.0,0.07,3405.6,3237.19,168.41,39.4,-9.08,-8.68,42251.82,2593.47
2639.99,2641.16,2623.03,2630.6,10469.26,27548290.0,29230.0,4651.49,12237823.0,0.0,0.07,4651.49,5817.77,-1166.28,39.35,-8.81,-8.7,44883.17,2596.78
2630.6,2635.68,2620.45,2622.42,7614.84,20002278.0,22101.0,3265.13,8577549.0,0.0,0.07,3265.13,4349.71,-1084.58,32.68,-9.16,-8.79,47509.92,2600.92
2622.43,2634.41,2618.4,2633.68,7834.48,20583262.0,18769.0,4078.46,10716960.0,0.0,0.07,4078.46,3756.02,322.45,38.29,-8.43,-8.72,50137.19,2605.69
2633.68,2644.0,2633.2,2636.88,9194.53,24257536.0,19292.0,5247.34,13843782.0,0.0,0.07,5247.34,3947.2,1300.14,47.72,-7.5,-8.48,52775.44,2610.84
